id,repeatProbability
12262064,0.064
12277270,0.21
12332190,0.016
12524696,0.12
13074629,0.18
13387341,0.112
13501141,0.096
13558712,0.09
13563017,0.092
13584134,0.038
13744500,0.158
14026320,0.06
14049441,0.106
14101174,0.07
14278542,0.074
14632152,0.452
14723452,0.064
14790034,0.228
14989775,0.05
15050385,0.034
15073302,0.152
15134033,0.036
15163210,0.088
15417308,0.03
15575309,0.046
15708395,0.04
16075389,0.102
16078766,0.132
16130307,0.118
16412251,0.138
16551772,0.118
16740945,0.042
16765955,0.042
16790471,0.094
16799857,0.082
16802992,0.08
16829614,0.142
16961724,0.128
16968198,0.432
17041984,0.124
17208569,0.082
17524817,0.208
17552659,0.366
17563640,0.01
17652157,0.1
17678929,0.106
17792880,0.094
17956604,0.174
18019282,0.02
18036844,0.128
18470775,0.08
18714453,0.032
18854215,0.11
18985721,0.018
19006747,0.03
19119985,0.11
19134469,0.17
19166969,0.09
19253253,0.04
19277502,0.084
19346425,0.28
19460457,0.09
19607398,0.094
19648997,0.14
19667741,0.096
20008183,0.1
20552767,0.278
20760852,0.332
21303030,0.068
21323129,0.028
21420965,0.062
21489091,0.074
21690320,0.528
21774908,0.098
21862750,0.056
21873377,0.09
22018852,0.044
22149847,0.182
22199203,0.068
22221380,0.03
22231751,0.112
22326006,0.026
22496007,0.096
22560643,0.064
22587434,0.032
22644300,0.182
22735677,0.122
22745038,0.152
22806689,0.008
23011309,0.116
23194432,0.234
23194614,0.018
23211846,0.18
23340837,0.068
23480814,0.066
23727805,0.082
23763655,0.104
23972718,0.298
24032560,0.112
24120930,0.01
42937475,0.114
48386542,0.1
48532593,0.144
48605649,0.086
48747840,0.1
49182915,0.024
49204603,0.038
49240577,0.032
49332997,0.012
49522674,0.19
49591669,0.052
49710372,0.254
50006012,0.05
50050726,0.13
50066863,0.226
50173943,0.096
50246742,0.118
50288900,0.05
50545000,0.104
50635466,0.652
50677951,0.036
50786785,0.15
50791864,0.186
50828137,0.16
51053733,0.008
51328832,0.432
51349274,0.274
51377848,0.026
51388399,0.098
51472749,0.17
51804381,0.014
51868456,0.058
52015552,0.368
52113271,0.092
52328342,0.032
52387756,0.098
52584180,0.04
52590015,0.086
52770204,0.198
52795289,0.14
52942577,0.014
